mc_initial,temperature,humidity,mc_final,drying_time,temp_ave,humidity_ave,mc_decay
16.5,31.1,67.0,13.0,6.0,30.27142857,70.85714286,0.583333333
17.0,31.1,67.0,13.5,6.0,30.27142857,70.85714286,0.583333333
16.5,31.1,67.0,13.5,6.0,30.27142857,70.85714286,0.5
17.5,31.1,67.0,12.5,6.0,30.27142857,70.85714286,0.833333333
18.0,31.1,67.0,13.0,6.0,30.27142857,70.85714286,0.833333333
17.0,31.1,67.0,13.0,6.0,30.27142857,70.85714286,0.666666667
16.0,31.1,67.0,13.5,6.0,30.27142857,70.85714286,0.416666667
17.0,31.1,67.0,12.5,6.0,30.27142857,70.85714286,0.75
15.5,31.1,67.0,13.5,6.0,30.27142857,70.85714286,0.333333333
16.0,30.5,68.0,13.5,6.0,30.14285714,70.0,0.416666667
16.0,30.5,68.0,13.0,6.0,30.14285714,70.0,0.5
16.5,30.5,68.0,14.0,6.0,30.14285714,70.0,0.416666667
17.0,30.5,68.0,13.5,6.0,30.14285714,70.0,0.583333333
19.5,30.5,68.0,13.5,6.0,30.14285714,70.0,1.0
17.5,30.5,68.0,13.5,6.0,30.14285714,70.0,0.666666667
16.5,30.5,68.0,13.0,6.0,30.14285714,70.0,0.583333333
18.0,30.5,68.0,12.5,6.0,30.14285714,70.0,0.916666667
17.0,30.5,68.0,14.0,6.0,30.14285714,70.0,0.5
16.0,30.9,70.0,13.5,6.0,29.97142857,72.14285714,0.416666667
